Annual Subway Ridership,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2018,2019,2020,2021,2022,2023,2022-2023 Change,,2023 Rank
The Bronx,,,,,,,,,,,
"138 St-Grand Concourse (4,5)",1,Bx,944598,1035878,371408.014,656866,766610,#NAME?,18661,2.4342233991208%,#NAME?
"149 St-Grand Concourse (2,4,5)",,Bx,3972763,3931908,1815784.971,1832521,2026363,#NAME?,61416,3.03084886567708%,#NAME?
"161 St-Yankee Stadium (B,D,4)",,Bx,8392290,8254928,3221650.993,4077604,5023193,#NAME?,#NAME?,#NAME?,#NAME?
167 St (4),,Bx,2933140,2653237,1396286.968,1615072,1847368,#NAME?,#NAME?,#NAME?,#NAME?
"167 St (B,D)",2,Bx,2022919,2734530,1422149.009,1508270,1492833,#NAME?,-81689,-5.47207892644388%,#NAME?
170 St (4),,Bx,2562443,2487611,1265949.969,1278506,1499662,#NAME?,#NAME?,#NAME?,#NAME?
"170 St (B,D)",,Bx,2454974,2130461,1002094.897,1104637,1121869,#NAME?,#NAME?,#NAME?,#NAME?
"174 St (2,5)",,Bx,2056692,2057118,953564.086,1077126,1140821,#NAME?,#NAME?,#NAME?,#NAME?
"174-175 Sts (B,D)",3,Bx,1005075,1518260,788120.988,853579,859988,#NAME?,#NAME?,#NAME?,#NAME?
176 St (4),,Bx,1803691,1713696,876864.952,939585,1055833,#NAME?,#NAME?,#NAME?,#NAME?
"182-183 Sts (B,D)",,Bx,1502814,1513443,761613.041,812994,866961,#NAME?,#NAME?,#NAME?,#NAME?
183 St (4),,Bx,1831457,1779224,951634.019,1051456,1196389,#NAME?,#NAME?,#NAME?,#NAME?
"219 St (2,5)",,Bx,1026894,979390,457388.001,495442,530795,#NAME?,#NAME?,#NAME?,#NAME?
"225 St (2,5)",,Bx,1224369,1187486,549296.064,605491,621548,#NAME?,#NAME?,#NAME?,#NAME?
231 St (1),,Bx,3133231,2919305,1289691.037,1462605,1810807,#NAME?,#NAME?,#NAME?,#NAME?
"233 St (2,5)",,Bx,1496673,1445532,721494.982,796596,845998,#NAME?,#NAME?,#NAME?,#NAME?
238 St (1),4,Bx,960970,1204095,588199.079,678017,872799,#NAME?,#NAME?,#NAME?,#NAME?
3 Av-138 St (6),,Bx,2451972,2503850,1271191.926,1359371,1503905,#NAME?,#NAME?,#NAME?,#NAME?
"3 Av-149 St (2,5)",,Bx,6784053,6768255,3166766.007,3301418,3330977,#NAME?,#NAME?,#NAME?,#NAME?
"Allerton Av (2,5)",,Bx,1603702,1614464,760068.025,850231,896938,#NAME?,#NAME?,#NAME?,#NAME?
Baychester Av (5),,Bx,1006343,1094872,491292.994,485836,548542,#NAME?,#NAME?,#NAME?,#NAME?
"Bedford Park Blvd (B,D)",,Bx,1984267,2143375,968589.93,1106992,1165034,#NAME?,#NAME?,#NAME?,#NAME?
Bedford Park Blvd-Lehman College (4),,Bx,1575555,1538253,691844.989,795864,1091465,#NAME?,#NAME?,#NAME?,#NAME?
"Bronx Park East (2,5)",,Bx,752916,769303,354016.036,421588,470109,#NAME?,#NAME?,#NAME?,#NAME?
Brook Av (6),,Bx,1895570,1823468,949903.929,1026185,1117049,#NAME?,#NAME?,#NAME?,#NAME?
Buhre Av (6),,Bx,1110307,1146032,519694.04,585402,734364,#NAME?,#NAME?,#NAME?,#NAME?
"Burke Av (2,5)",,Bx,997617,1000896,480152.063,531811,552450,#NAME?,#NAME?,#NAME?,#NAME?
Burnside Av (4),,Bx,3198218,3113514,1473081.032,1614822,1824767,#NAME?,#NAME?,#NAME?,#NAME?
Castle Hill Av (6),,Bx,2000084,1954511,947431.97,1043725,1196644,#NAME?,#NAME?,#NAME?,#NAME?
Cypress Av (6),,Bx,1113667,1043922,507795.029,519868,559225,#NAME?,#NAME?,#NAME?,#NAME?
East 143 St-St Mary's St (6),,Bx,301240,313938,168284.99,196864,254297,#NAME?,#NAME?,#NAME?,#NAME?
East 149 St (6),,Bx,1508022,1467410,788234.982,828659,927728,#NAME?,#NAME?,#NAME?,#NAME?
