,Unnamed: 0,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_tm,rpt_dt,ofns_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex,transit_district,latitude,longitude,lat_lon,station_name,day,month,year,complaint_count,Matched_Station,Station (alphabetical by borough),2022
0,7929929,2022-01-01,01:00:00,01:05:00,01/01/2022,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,982103.0,198029.0,25-44,WHITE HISPANIC,M,2.0,40.71022031,-74.00774423,"(40.71022031, -74.00774423)",BROADWAY/NASSAU,1.0,1.0,2022.0,23,BROADWAY,BROADWAY,3361200.0
1,8145073,2022-01-01,16:00:00,16:00:00,04/23/2022,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,FELONY,BRONX,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,1009301.0,247650.0,UNKNOWN,UNKNOWN,U,11.0,40.84638155,-73.90945594,"(40.84638155, -73.90945594)",174 175 ST,1.0,1.0,2022.0,20,174 175 ST,174 175 ST,859988.0
2,8223805,2022-01-01,20:25:00,20:30:00,01/01/2022,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,1004368.0,237509.0,25-44,BLACK HISPANIC,M,11.0,40.81856005,-73.92731612,"(40.81856005, -73.92731612)",149 ST. GRAND CONCOURSE,1.0,1.0,2022.0,90,149 ST GRAND CONCOURSE,149 ST GRAND CONCOURSE,2026363.0
3,7977592,2022-01-01,18:05:00,18:06:00,01/01/2022,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BROOKLYN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,986256.0,181739.0,18-24,WHITE HISPANIC,M,32.0,40.66550803,-73.99276919,"(40.66550803, -73.99276919)",PROSPECT AV,1.0,1.0,2022.0,50,PROSPECT AV,PROSPECT AV,2408486.0
4,7948524,2022-01-01,19:54:00,(null),04/19/2022,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,992063.0,228791.0,45-64,BLACK,M,3.0,40.794651,-73.97178272,"(40.794651, -73.97178272)",96 ST,1.0,1.0,2022.0,143,96 ST,96 ST,15818876.0
5,8041787,2022-01-01,00:01:00,13:00:00,01/05/2022,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BROOKLYN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,989468.0,148972.0,UNKNOWN,UNKNOWN,U,34.0,40.57556814,-73.98121659,"(40.57556814, -73.98121659)",STILLWELL AV CONEY ISLAND,1.0,1.0,2022.0,90,CONEY ISLAND STILLWELL AV,CONEY ISLAND STILLWELL AV,2879052.0
6,8237476,2022-01-01,20:51:00,20:53:00,01/03/2022,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,QUEENS,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,1018151.0,207719.0,UNKNOWN,UNKNOWN,U,20.0,40.7367523,-73.87767019,"(40.7367523, -73.87767019)",GRAND AVE. NEWTON,1.0,1.0,2022.0,14,GRAND AV NEWTOWN,GRAND AV NEWTOWN,3588300.0
7,8048699,2022-01-01,03:45:00,09:00:00,01/01/2022,GRAND LARCENY,COMPLETED,FELONY,BRONX,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,1021171.0,258964.0,(null),(null),(null),12.0,40.87739338,-73.86649088,"(40.87739338, -73.86649088)",GUN HILL ROAD,1.0,1.0,2022.0,45,GUN HILL RD,GUN HILL RD,2051752.0
8,7932907,2022-01-01,10:00:00,12:20:00,01/01/2022,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,983125.0,199091.0,(null),(null),(null),2.0,40.71313543,-74.00405805,"(40.71313543, -74.00405805)",BROOKLYN BRIDGE CITY HALL,1.0,1.0,2022.0,55,BROOKLYN BRIDGE CITY HALL,BROOKLYN BRIDGE CITY HALL,5050750.0
9,8174142,2022-01-01,02:45:00,02:46:00,01/01/2022,FELONY ASSAULT,COMPLETED,FELONY,BRONX,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,1012537.0,253108.0,UNKNOWN,BLACK HISPANIC,M,11.0,40.86135236,-73.89773676,"(40.86135236, -73.89773676)",FORDHAM ROAD,1.0,1.0,2022.0,122,FORDHAM RD,FORDHAM RD,3905133.0
