,Unnamed: 0,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_tm,rpt_dt,ofns_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex,transit_district,latitude,longitude,lat_lon,station_name,day,month,year,complaint_count,Matched_Station,Station (alphabetical by borough),2019
0,6948837,2019-01-01,08:30:00,10:00:00,01/01/2019,GRAND LARCENY,COMPLETED,FELONY,QUEENS,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,1033013.0,189339.0,UNKNOWN,UNKNOWN,U,23.0,40.68623422,-73.82417476,"(40.68623422, -73.82417476)",LEFFERTS BLVD.,1.0,1.0,2019.0,15,OZONE PARK LEFFERTS BLVD,OZONE PARK LEFFERTS BLVD,2216647.0
1,6598289,2019-01-01,17:00:00,17:10:00,01/01/2019,DANGEROUS WEAPONS,COMPLETED,FELONY,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,988353.0,217918.0,25-44,BLACK,M,1.0,40.76481845,-73.98518947,"(40.76481845, -73.98518947)",59 ST. COLUMBUS CIRCLE,1.0,1.0,2019.0,238,59 ST COLUMBUS CIRCLE,59 ST COLUMBUS CIRCLE,23040650.0
3,6602273,2019-01-01,22:00:00,04:30:00,01/06/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,FELONY,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,985902.0,201709.0,(null),(null),(null),4.0,40.72032113,-73.99404032,"(40.72032113, -73.99404032)",BOWERY,1.0,1.0,2019.0,33,BOWERY,BOWERY,1325244.0
4,6957221,2019-01-01,02:00:00,03:00:00,01/01/2019,GRAND LARCENY,COMPLETED,FELONY,QUEENS,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,1050464.0,157916.0,18-24,BLACK,M,23.0,40.59987182,-73.7615602,"(40.59987182, -73.7615602)",BEACH 25 ST,1.0,1.0,2019.0,9,BEACH 25 ST,BEACH 25 ST,517164.0
5,6610765,2019-01-01,18:18:00,18:25:00,04/24/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,FELONY,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,987639.0,212445.0,25-44,BLACK,M,2.0,40.74978831,-73.98776859,"(40.74978831, -73.98776859)",34 ST. HERALD SQ.,1.0,1.0,2019.0,151,34 ST HERALD SQ,34 ST HERALD SQ,39385436.0
6,6838553,2019-01-01,00:01:00,23:59:00,01/30/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,QUEENS,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,1022285.0,212504.0,(null),(null),(null),20.0,40.7498691,-73.86272585,"(40.7498691, -73.86272585)",103 ST. CORONA PLAZA,1.0,1.0,2019.0,37,103 ST CORONA PLAZA,103 ST CORONA PLAZA,6399657.0
7,6931665,2019-01-01,15:40:00,15:42:00,01/01/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,1012537.0,253108.0,UNKNOWN,BLACK,M,11.0,40.86135236,-73.89773676,"(40.86135236, -73.89773676)",FORDHAM ROAD,1.0,1.0,2019.0,105,FORDHAM RD,FORDHAM RD,6792193.0
9,6631003,2019-01-01,15:30:00,15:40:00,01/11/2019,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,993569.0,217891.0,UNKNOWN,BLACK,M,1.0,40.76473193,-73.9663588,"(40.76473193, -73.9663588)",LEXINGTON AVE.,1.0,1.0,2019.0,54,LEXINGTON AV,LEXINGTON AV,16760813.0
10,6587503,2019-01-01,13:10:00,13:18:00,01/01/2019,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,986848.0,212883.0,25-44,WHITE,F,2.0,40.75099078,-73.99062326,"(40.75099078, -73.99062326)",34 ST. PENN STATION,1.0,1.0,2019.0,254,34 ST PENN STATION,34 ST PENN STATION,51599040.0
11,6843040,2019-01-01,02:30:00,03:15:00,01/02/2019,GRAND LARCENY,COMPLETED,FELONY,QUEENS,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,1022285.0,212504.0,UNKNOWN,UNKNOWN,U,20.0,40.7498691,-73.86272585,"(40.7498691, -73.86272585)",103 ST. CORONA PLAZA,1.0,1.0,2019.0,37,103 ST CORONA PLAZA,103 ST CORONA PLAZA,6399657.0
