,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_tm,crm_atpt_cptd_cd,jurisdiction_code,juris_desc,law_cat_cd,loc_of_occur_desc,ofns_desc,prem_typ_desc,rpt_dt,station_name,susp_age_group,susp_race,susp_sex,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,transit_district,day,month,year
42688,MANHATTAN,2014-02-14,01:50:00,02:01:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OFFENSES AGAINST PUBLIC ADMINI,TRANSIT - NYC SUBWAY,2024-02-14T00:00:00.000,W. 4 STREET,25-44,BLACK,M,983985,205857,40.73170654022224,-74.00095616452742,"{'type': 'Point', 'coordinates': [-74.00095616452742, 40.73170654022224]}",2,14,2,2014
78554,BROOKLYN,2021-08-12,15:53:00,(null),COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-04-10T00:00:00.000,JAY STREET-BOROUGH HALL,45-64,BLACK,M,987772,191476,40.692233421103055,-73.98729955552464,"{'type': 'Point', 'coordinates': [-73.98729955552464, 40.692233421103055]}",30,12,8,2021
73034,BROOKLYN,2021-09-13,12:17:00,(null),COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-04-10T00:00:00.000,JAY STREET-BOROUGH HALL,45-64,BLACK,M,987772,191476,40.692233421103055,-73.98729955552464,"{'type': 'Point', 'coordinates': [-73.98729955552464, 40.692233421103055]}",30,13,9,2021
70086,BROOKLYN,2021-10-01,10:32:00,(null),COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-04-10T00:00:00.000,JAY STREET-BOROUGH HALL,45-64,BLACK,M,987772,191476,40.692233421103055,-73.98729955552464,"{'type': 'Point', 'coordinates': [-73.98729955552464, 40.692233421103055]}",30,1,10,2021
79244,BROOKLYN,2021-11-23,16:28:00,(null),COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-04-10T00:00:00.000,JAY STREET-BOROUGH HALL,45-64,BLACK,M,987772,191476,40.692233421103055,-73.98729955552464,"{'type': 'Point', 'coordinates': [-73.98729955552464, 40.692233421103055]}",30,23,11,2021
69349,BROOKLYN,2022-01-05,14:17:00,(null),COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-04-10T00:00:00.000,JAY STREET-BOROUGH HALL,45-64,BLACK,M,987772,191476,40.692233421103055,-73.98729955552464,"{'type': 'Point', 'coordinates': [-73.98729955552464, 40.692233421103055]}",30,5,1,2022
139700,MANHATTAN,2022-04-22,19:08:00,(null),COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-04-09T00:00:00.000,125 STREET,45-64,BLACK,M,997374,234664,40.8107644899635,-73.952590152183,"{'type': 'Point', 'coordinates': [-73.952590152183, 40.8107644899635]}",3,22,4,2022
88729,MANHATTAN,2022-06-15,09:00:00,16:30:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),SEX CRIMES,TRANSIT - NYC SUBWAY,2024-08-31T00:00:00.000,23 STREET,45-64,BLACK HISPANIC,M,988886,207857,40.7372030985741,-73.9832725981497,"{'type': 'Point', 'coordinates': [-73.9832725981497, 40.7372030985741]}",4,15,6,2022
138851,MANHATTAN,2022-06-17,16:02:00,(null),COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-04-09T00:00:00.000,125 STREET,45-64,BLACK,M,997374,234664,40.8107644899635,-73.952590152183,"{'type': 'Point', 'coordinates': [-73.952590152183, 40.8107644899635]}",3,17,6,2022
132532,MANHATTAN,2022-07-06,16:03:00,(null),COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-04-17T00:00:00.000,86 STREET,25-44,BLACK,M,996551,223272,40.779497725226406,-73.95558406794517,"{'type': 'Point', 'coordinates': [-73.95558406794517, 40.779497725226406]}",4,6,7,2022
135272,MANHATTAN,2022-08-14,14:07:00,(null),COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-04-17T00:00:00.000,86 STREET,25-44,BLACK,M,996551,223272,40.779497725226406,-73.95558406794517,"{'type': 'Point', 'coordinates': [-73.95558406794517, 40.779497725226406]}",4,14,8,2022
99663,BROOKLYN,2022-09-01,21:45:00,22:00:00,ATTEMPTED,1,N.Y. TRANSIT POLICE,FELONY,(null),ROBBERY,TRANSIT - NYC SUBWAY,2024-06-27T00:00:00.000,DEKALB AVENUE,25-44,BLACK,M,989388,190638,40.68993251373749,-73.98147284719796,"{'type': 'Point', 'coordinates': [-73.98147284719796, 40.68993251373749]}",30,1,9,2022
